Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
25197,1.02,Very Good,H,VS2,60.2,62.0,6.46,6.54,3.91,5335
13901,1.32,Premium,H,SI1,61.5,61.0,7.05,6.97,4.31,7163
24913,0.9,Very Good,E,VS2,63.3,59.0,6.08,6.12,3.86,4482
23528,0.54,Ideal,E,SI2,60.4,57.0,5.33,5.27,3.2,1340
13936,0.39,Very Good,J,VVS1,61.8,56.0,4.64,4.71,2.89,718
21229,1.5,Ideal,F,VS2,62.4,55.0,7.31,7.25,4.54,14199
10187,0.3,Ideal,F,IF,61.7,56.0,4.31,4.35,2.67,873
7473,1.01,Premium,E,VS2,62.1,58.0,6.42,6.34,3.96,6425
17853,0.91,Fair,G,VS2,64.9,54.0,6.04,6.08,3.93,4860
19841,0.77,Good,F,SI1,63.2,57.0,5.82,5.85,3.69,2642
21942,1.57,Premium,I,VS2,62.2,58.0,7.43,7.35,4.59,7755
6109,0.54,Ideal,E,VS2,62.2,55.0,5.21,5.24,3.25,1754
9790,1.17,Very Good,H,SI1,63.1,56.0,6.76,6.71,4.25,4652
20999,0.3,Ideal,D,VS2,61.8,55.0,4.27,4.3,2.65,736
9273,0.52,Ideal,E,VS1,61.8,56.0,5.17,5.19,3.2,2275
9272,0.96,Premium,J,SI1,62.9,59.0,6.3,6.22,3.94,3187
22576,0.56,Very Good,D,SI1,63.0,58.0,5.21,5.24,3.29,1746
10700,1.0,Fair,I,I1,68.6,56.0,6.2,6.08,4.22,1805
1601,0.78,Fair,G,SI2,64.9,55.2,5.75,5.82,3.76,2401
20134,0.3,Good,D,SI1,63.3,55.0,4.28,4.31,2.72,552
16474,0.73,Fair,D,SI2,65.5,60.0,5.64,5.54,3.66,2147
19815,1.01,Premium,G,SI1,62.6,60.0,6.36,6.29,3.96,5006
4274,1.01,Good,F,SI2,63.1,58.0,6.34,6.38,4.01,3768
3218,0.42,Premium,F,VS1,61.8,59.0,4.83,4.81,2.98,1103
7439,0.32,Ideal,I,VVS2,62.0,54.9,4.36,4.39,2.71,567
10696,0.31,Ideal,E,VS2,62.2,55.0,4.32,4.36,2.7,642
11022,0.33,Ideal,I,IF,61.2,56.0,4.46,4.49,2.74,862
5106,1.51,Premium,F,VS2,60.4,59.0,7.41,7.33,4.45,14247
11672,0.72,Premium,D,SI1,62.6,54.0,5.78,5.72,3.6,3048
17349,2.63,Premium,J,I1,62.3,61.0,8.81,8.76,5.47,10628
15572,0.5,Ideal,E,VS2,61.3,57.0,5.13,5.15,3.15,1624
15869,1.01,Very Good,E,SI1,58.6,58.0,6.52,6.58,3.84,4766
7988,0.55,Very Good,F,SI1,59.1,59.0,5.36,5.4,3.18,1370
709,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,6027
11931,0.32,Premium,H,SI1,60.9,60.0,4.4,4.43,2.69,461
11314,0.7,Very Good,H,SI1,63.4,61.0,5.62,5.58,3.55,2176
20787,0.23,Very Good,G,VVS2,62.3,57.0,3.9,3.92,2.43,431
19488,0.31,Ideal,G,IF,61.0,56.0,4.37,4.38,2.67,924
17177,0.23,Ideal,I,VVS1,63.0,56.0,3.94,3.9,2.47,414
16985,0.35,Very Good,G,VS1,61.5,60.0,4.51,4.57,2.79,676
11447,0.69,Premium,H,VS2,60.8,59.0,5.77,5.74,3.5,1863
24390,0.41,Ideal,F,IF,61.4,56.0,4.81,4.83,2.96,1439
4748,1.01,Very Good,G,SI1,63.7,60.0,6.31,6.35,4.03,5192
17094,0.34,Ideal,G,VS2,62.2,55.0,4.47,4.5,2.79,596
20192,1.34,Very Good,J,SI2,62.3,61.0,6.97,7.05,4.37,5787
23338,0.9,Very Good,F,SI1,61.7,60.0,6.16,6.22,3.82,3950
6608,0.91,Fair,H,SI1,65.3,62.0,6.11,6.01,3.96,3278
20906,0.57,Very Good,E,VS2,63.0,59.0,5.25,5.29,3.32,1654
17134,0.41,Ideal,E,VS2,61.6,55.0,4.79,4.75,2.94,999
6866,1.13,Premium,H,VS2,62.4,58.0,6.61,6.66,4.14,5779
9129,2.01,Good,I,SI1,64.1,62.0,7.85,7.94,5.06,13464
20462,0.4,Ideal,H,VVS1,62.2,55.0,4.75,4.7,2.94,1088
11434,1.17,Ideal,G,VVS2,60.6,56.0,6.87,6.84,4.15,9225
2630,1.07,Ideal,H,I1,62.1,55.0,6.55,6.59,4.08,3412
22428,0.91,Very Good,I,VS2,,58.0,6.13,6.19,3.85,3579
1912,0.37,Premium,D,VVS2,61.0,60.0,4.64,4.61,2.82,1145
20299,1.5,Fair,H,SI1,65.0,57.0,7.1,7.06,4.6,6838
23223,0.73,Ideal,F,VVS2,61.7,54.0,5.82,5.76,3.57,3463
24420,0.42,Ideal,I,SI1,,55.0,4.81,4.83,2.98,833
3913,0.33,Very Good,D,SI2,63.3,53.0,4.42,4.39,2.79,631
13883,1.1,Ideal,J,SI2,62.0,59.0,6.58,6.61,4.09,4226
9401,1.54,Ideal,G,VVS2,62.5,57.0,7.3,7.36,4.58,15059
17467,0.42,Ideal,D,VVS2,62.6,56.0,4.79,4.77,2.99,1389
20574,0.23,Very Good,E,VVS1,60.0,59.0,3.97,4.03,2.4,530
21039,0.77,Very Good,I,VS2,63.4,58.0,5.81,5.74,3.66,2262
1563,0.34,Very Good,D,SI1,60.2,60.0,4.5,4.54,2.72,626
239,0.91,Very Good,H,VS1,63.4,56.0,6.18,6.12,3.9,4224
24345,0.71,Premium,E,SI2,62.2,57.0,5.74,5.68,3.55,2386
15173,1.51,Very Good,I,VS2,60.4,58.0,7.36,7.42,4.46,9178
6492,0.8,Premium,J,VS1,60.8,59.0,6.0,5.94,3.63,2292
16134,0.34,Ideal,D,VS2,61.9,55.0,4.49,4.52,2.79,802
1598,0.32,Premium,E,VVS1,60.8,59.0,4.45,4.43,2.7,1044
9086,1.03,Premium,G,SI1,60.1,60.0,6.55,6.52,3.93,5581
18294,0.28,Ideal,E,VVS2,62.1,56.0,4.21,4.19,2.61,828
25684,1.05,Fair,H,SI2,64.8,55.0,6.39,6.32,4.12,2717
12195,0.25,Ideal,H,VS1,61.5,56.0,4.05,4.08,2.5,445
2220,1.53,Ideal,G,SI1,62.4,57.0,7.33,7.41,4.6,11230
24373,0.26,Ideal,F,VVS1,62.7,55.0,4.07,4.1,2.56,635
13116,0.62,Ideal,G,VVS2,61.6,56.0,5.45,5.48,3.37,2861
8870,0.3,Ideal,G,VVS1,61.5,55.0,4.33,4.35,2.67,764
1754,1.11,Ideal,H,SI1,62.5,56.0,6.65,6.63,4.15,5395
4426,1.53,Ideal,D,SI1,61.2,56.0,7.48,7.45,4.57,13714
8403,0.31,Ideal,D,VS2,61.2,55.0,4.36,4.46,2.7,734
658,0.6,Ideal,D,VS2,61.5,55.0,5.42,5.45,3.34,2325
20978,0.71,Ideal,F,VS1,62.1,57.0,5.73,5.76,3.57,3066
12794,1.02,Premium,H,SI2,58.3,59.0,6.61,6.57,3.84,3313
25209,0.9,Ideal,F,I1,61.8,57.0,6.2,6.13,3.81,2634
19035,1.64,Ideal,F,SI1,61.8,55.0,7.6,7.58,4.69,13289
19604,0.26,Ideal,E,VVS1,,57.0,4.07,4.1,2.52,599
5491,0.31,Ideal,E,VS2,61.8,56.0,4.34,4.36,2.69,680
25717,0.3,Ideal,D,SI1,62.2,55.0,4.29,4.33,2.68,552
15495,0.43,Premium,F,SI1,60.6,59.0,4.87,4.84,2.94,1016
26504,1.1,Ideal,I,VS1,62.3,55.0,6.64,6.6,4.12,5864
25417,0.32,Very Good,D,SI1,62.7,57.0,4.34,4.37,2.73,589
13090,1.01,Premium,G,SI2,62.5,60.0,6.34,6.39,3.98,4249
21697,0.51,Good,D,VS2,63.7,57.0,5.05,5.0,3.2,1665
15071,0.91,Ideal,F,SI1,62.3,56.0,6.16,6.19,3.85,4267
2782,1.52,Very Good,D,VS2,61.9,56.0,7.31,7.35,4.54,14698
4937,0.5,Premium,F,VVS2,62.3,58.0,5.06,5.11,3.17,2052
14393,1.08,Ideal,H,SI1,62.8,57.0,6.55,6.51,4.1,4964
24554,0.35,Ideal,F,IF,60.9,56.0,4.54,4.56,2.77,1035
292,0.35,Ideal,I,VS1,60.9,57.0,4.59,4.54,2.78,709
2212,1.09,Ideal,G,VVS2,60.6,57.0,6.62,6.7,4.05,8364
14958,0.46,Ideal,G,SI1,62.2,53.4,4.95,4.98,3.09,934
26361,0.31,Ideal,E,SI2,61.3,55.0,4.37,4.34,2.67,558
7739,0.52,Very Good,H,VS2,63.5,58.0,5.12,5.11,3.25,1385
17126,0.5,Good,E,SI2,63.7,55.0,5.08,5.03,3.22,1181
22042,0.34,Ideal,F,VVS2,61.7,55.0,4.49,4.52,2.78,784
15037,1.0,Premium,E,SI2,60.4,60.0,6.49,6.46,3.91,4648
1524,1.01,Fair,G,SI2,67.1,59.0,6.27,6.19,4.18,2942
2768,0.9,Very Good,G,VS2,63.2,58.0,6.11,6.17,3.88,4531
10506,0.7,Premium,F,SI1,60.8,59.0,5.73,5.71,3.48,2023
15329,0.6,Very Good,D,SI1,60.0,56.0,5.46,5.51,3.29,1841
9340,1.0,Premium,F,VS2,62.2,57.0,6.43,6.4,3.99,6296
15024,0.74,Ideal,E,SI2,61.7,57.0,5.78,5.82,3.58,2501
2713,0.34,Ideal,G,VS2,61.8,56.0,4.52,4.48,2.78,765
14378,0.32,Ideal,H,VS2,62.2,57.0,4.36,4.38,2.72,505
22994,0.3,Good,G,VS1,63.8,55.0,4.28,4.25,2.72,776
6784,0.81,Premium,F,SI1,59.4,60.0,6.11,6.07,3.62,2403
15938,0.51,Premium,G,SI2,58.6,59.0,5.3,5.25,3.09,1026
12726,0.32,Ideal,G,IF,62.0,54.0,4.42,4.45,2.75,918
13409,1.03,Very Good,H,SI1,63.5,53.0,6.43,6.46,4.09,4573
18752,0.32,Premium,D,SI1,61.3,60.0,4.43,4.41,2.71,756
2776,0.72,Good,J,VS1,63.7,54.0,5.68,5.71,3.63,1959
305,0.42,Very Good,F,VS1,60.9,58.0,4.84,4.88,2.96,910
16661,0.53,Ideal,E,VS2,62.5,57.0,5.18,5.16,3.23,1727
1928,1.04,Ideal,H,SI2,60.3,56.0,6.61,6.58,3.98,4193
18454,1.2,Very Good,J,VS1,63.1,59.0,6.75,6.65,4.23,5376
13570,1.58,Premium,G,VS2,62.6,59.0,7.44,7.47,4.67,13014
16938,0.74,Premium,D,SI1,59.5,60.0,5.95,5.88,3.52,2369
26694,1.7,Ideal,J,SI1,60.9,57.0,7.73,7.66,4.69,8758
17421,1.0,Good,G,VS2,63.7,57.0,6.32,6.28,4.01,5484
18580,1.0,Good,E,VVS2,65.3,56.0,6.19,6.24,4.06,7226
7545,1.43,Ideal,H,VVS2,61.6,54.0,7.25,7.29,4.48,10129
18649,1.51,Premium,H,VS2,62.3,59.0,7.28,7.32,4.55,11435
9461,1.53,Very Good,H,SI1,63.1,56.0,7.32,7.27,4.6,7862
18535,0.5,Good,G,VVS1,63.3,56.0,5.07,5.1,3.22,1966
21528,0.58,Ideal,F,VVS1,61.6,57.0,5.33,5.38,3.3,2728
25605,1.25,Premium,J,VS1,62.2,58.0,6.88,6.92,4.29,5637
2397,1.11,Premium,H,VS2,62.0,59.0,6.66,6.59,4.11,5395
24201,0.35,Ideal,E,SI2,61.7,56.0,4.55,4.53,2.8,630
10977,0.57,Ideal,H,VS1,61.3,56.0,5.36,5.38,3.29,1554
4450,1.01,Premium,J,SI2,61.8,60.0,6.41,6.37,3.95,3563
22038,1.5,Premium,H,I1,60.1,57.0,7.4,7.28,4.42,3457
21035,0.9,Very Good,I,SI1,63.2,56.0,6.15,6.12,3.88,3120
10379,1.28,Very Good,G,VS1,59.2,57.0,7.05,7.13,4.2,8895
8450,0.73,Premium,D,VS1,60.0,58.0,5.9,5.86,3.53,3557
8693,0.31,Ideal,H,VS2,62.0,57.0,4.33,4.38,2.7,489
400,0.32,Premium,G,VS2,62.3,58.0,4.41,4.36,2.73,720
17103,1.28,Good,I,VS2,58.2,64.0,7.09,7.03,4.11,5319
8933,1.22,Premium,H,VS2,62.3,58.0,6.85,6.77,4.24,6608
11007,0.42,Very Good,I,SI1,61.2,60.0,4.78,4.82,2.94,626
23796,0.57,Ideal,G,SI1,61.7,56.0,5.33,5.37,3.3,1364
22562,0.72,Ideal,I,VVS1,61.3,57.0,5.75,5.77,3.53,2654
24272,1.28,Ideal,H,SI1,61.8,57.0,7.02,6.97,4.32,7109
21222,0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,2674
20129,0.71,Ideal,E,VS2,62.2,57.0,5.69,5.73,3.55,3073
14902,0.5,Ideal,F,VS2,60.9,57.0,5.14,5.16,3.14,1749
22049,1.16,Very Good,H,SI2,62.8,59.0,6.7,6.64,4.19,5799
9063,0.3,Good,E,VVS1,,63.0,4.24,4.26,2.6,739
8959,0.33,Very Good,H,VS2,58.8,62.0,4.49,4.53,2.65,486
11169,0.3,Good,F,SI2,63.3,55.0,4.29,4.33,2.73,394
13989,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6467
733,1.19,Premium,I,SI1,61.3,59.0,6.84,6.79,4.18,5464
22731,0.77,Ideal,I,VVS2,62.1,55.0,5.85,5.9,3.65,2598
23576,0.31,Very Good,G,VVS1,58.8,59.0,4.44,4.47,2.62,778
17785,0.33,Ideal,F,VS1,62.1,55.0,4.43,4.46,2.76,738
11497,0.33,Very Good,G,SI2,60.0,56.0,4.52,4.55,2.73,460
15681,1.11,Premium,E,SI1,61.3,58.0,6.66,6.61,4.07,5908
21970,0.38,Ideal,G,SI1,62.4,57.0,4.65,4.62,2.89,855
25107,0.31,Ideal,D,VS2,61.8,55.0,4.37,4.33,2.69,942
24450,0.55,Premium,H,VS2,59.9,61.0,5.31,5.28,3.17,1270
14356,0.6,Ideal,D,VS2,62.0,55.0,5.39,5.42,3.35,2444
18183,0.32,Premium,J,IF,61.2,59.0,4.44,4.41,2.71,684
18835,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5293
19044,0.44,Ideal,H,IF,61.9,54.0,4.9,4.95,3.05,1177
21724,1.02,Premium,D,SI1,62.3,59.0,6.38,6.42,3.99,5890
10403,0.32,Premium,E,VVS1,61.8,59.0,4.35,4.39,2.7,954
2035,0.32,Ideal,G,VS2,61.5,55.0,4.39,4.43,2.71,580
14763,0.31,Ideal,G,IF,62.7,57.0,4.31,4.34,2.71,924
26473,0.96,Premium,H,SI2,59.2,61.0,6.42,6.36,3.78,3871
10801,0.79,Ideal,D,SI1,61.2,56.0,6.02,5.95,3.66,3185
11468,0.7,Very Good,E,SI2,,59.0,5.7,5.74,3.52,2464
7403,0.43,Very Good,G,VVS2,61.7,56.0,4.84,4.88,2.99,976
14115,1.0,Good,F,SI1,63.6,58.0,6.31,6.27,4.0,4939
17822,0.31,Good,F,VS2,58.2,58.0,4.46,4.51,2.61,637
25624,0.74,Very Good,J,VS1,62.7,58.0,5.75,5.8,3.62,2170
11190,1.54,Fair,I,SI2,65.0,56.0,7.22,7.14,4.67,6375
11139,1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,11091
21500,0.54,Very Good,F,VS2,63.0,56.8,5.18,5.22,3.28,1745
23763,0.8,Ideal,D,VS2,61.3,56.0,5.97,6.0,3.67,4781
3546,0.8,Ideal,F,VS1,62.4,55.0,5.92,5.88,3.68,3884
13207,0.39,Premium,G,IF,59.0,60.0,4.75,4.78,2.81,1300
20827,0.52,Ideal,F,SI2,62.1,55.0,5.14,5.17,3.2,1191
2725,0.32,Very Good,E,SI1,63.3,56.0,4.35,4.34,2.75,720
10601,0.43,Ideal,E,VS2,62.0,57.0,4.85,4.82,3.0,1048
7686,1.22,Ideal,H,SI1,61.8,57.0,6.85,6.83,4.23,6776
16317,0.59,Very Good,J,VS2,60.8,56.6,5.42,5.47,3.31,1257
15971,0.31,Very Good,E,VVS2,61.5,55.0,4.37,4.41,2.7,710
6486,0.71,Premium,F,SI1,58.5,59.0,5.87,5.82,3.42,2345
18995,0.54,Premium,G,SI1,61.1,60.0,5.24,5.2,3.19,1340
18594,0.38,Ideal,H,VVS1,60.7,55.0,4.71,4.74,2.87,1219
26311,0.36,Premium,G,VS1,61.7,59.0,4.55,4.59,2.82,726
22148,0.5,Ideal,G,VVS2,62.9,57.0,5.11,5.04,3.19,1935
24504,0.51,Very Good,E,VVS2,60.0,58.0,5.2,5.23,3.13,2365
13948,1.8,Good,F,SI2,57.9,58.0,8.08,8.13,4.69,12196
2259,2.09,Very Good,H,SI1,61.1,56.0,8.23,8.3,5.05,18392
12259,0.51,Very Good,E,VS2,60.2,62.0,5.16,5.27,3.14,1393
2794,0.43,Premium,G,VS1,61.0,58.0,4.92,4.89,2.99,1008
26950,1.03,Ideal,G,VVS1,62.0,56.0,6.54,6.5,4.04,8398
610,1.52,Good,G,SI1,64.4,59.0,7.18,7.25,4.65,9368
9962,0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,638
9375,0.32,Ideal,E,VS2,61.3,57.0,4.42,4.45,2.72,702
25690,0.71,Premium,G,VS2,60.4,61.0,5.81,5.77,3.5,2515
5649,1.22,Ideal,I,VS1,61.9,55.7,6.81,6.84,4.23,6469
25732,0.5,Ideal,F,SI1,60.1,56.0,5.19,5.22,3.13,1232
25938,1.5,Good,H,VS1,64.2,56.0,7.3,7.09,4.62,8749
20415,0.31,Ideal,E,VS1,61.8,55.0,4.36,4.38,2.7,692
16509,0.51,Ideal,D,VVS2,61.3,56.0,5.14,5.15,3.16,3223
17697,1.13,Premium,H,SI1,61.4,59.0,6.73,6.68,4.12,5338
6935,0.33,Ideal,F,VVS1,62.6,54.0,4.44,4.47,2.79,880
18117,0.29,Very Good,F,VVS2,62.7,58.0,4.22,4.26,2.66,664
11233,1.12,Ideal,G,VS2,62.0,56.0,6.64,6.69,4.13,6652
17122,0.71,Very Good,D,VS1,64.1,57.0,5.64,5.66,3.62,3332
5306,1.05,Ideal,H,SI1,61.9,57.0,6.54,6.57,4.06,5342
5786,1.74,Premium,H,SI2,62.1,59.0,7.78,7.65,4.79,10270
23419,0.42,Premium,E,VS2,60.9,59.0,4.81,4.85,2.94,958
18939,0.32,Ideal,F,VVS1,61.5,56.0,4.41,4.43,2.72,867
14043,0.7,Very Good,F,SI1,62.8,57.0,5.61,5.66,3.54,2250
5813,0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,789
12934,0.36,Very Good,G,SI2,61.9,56.0,4.55,4.59,2.83,473
107,1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924
8811,0.35,Premium,H,VS1,62.6,59.0,4.5,4.45,2.8,788
6301,0.72,Ideal,H,VS1,62.3,56.0,5.73,5.77,3.58,2819
17237,0.9,Premium,H,VS1,63.0,59.0,6.13,6.1,3.85,4064
16988,1.01,Premium,F,SI2,61.9,58.0,6.39,6.34,3.94,4676
20461,0.33,Ideal,G,VVS2,61.5,55.0,4.47,4.51,2.76,713
4913,1.37,Premium,G,SI2,59.6,60.0,7.24,7.18,4.3,6495
24298,0.4,Very Good,H,VS1,63.4,58.0,4.74,4.66,2.98,1007
14834,2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,16128
21153,0.35,Ideal,G,IF,61.8,56.0,4.57,4.52,2.81,1041
17010,1.0,Very Good,I,VS1,63.3,55.0,6.39,6.34,4.03,4641
14535,0.53,Ideal,G,VS1,61.9,56.0,5.17,5.2,3.21,1721
10669,1.12,Very Good,G,SI1,61.1,59.0,6.69,6.73,4.1,5361
24542,0.31,Ideal,F,IF,61.3,55.0,4.38,4.43,2.7,914
12682,0.51,Very Good,H,VVS1,63.2,57.0,5.06,5.1,3.21,1744
17427,1.4,Very Good,I,SI1,61.3,59.0,7.19,7.23,4.42,7644
13732,0.54,Premium,E,VS1,60.3,58.0,5.26,5.32,3.19,1939
8273,0.43,Ideal,G,VVS1,61.5,56.0,4.85,4.87,2.99,1207
10040,0.31,Ideal,D,VVS2,61.9,57.0,4.31,4.35,2.68,766
21687,1.02,Good,H,VS1,59.8,63.0,6.54,6.61,3.93,5598
5509,0.72,Very Good,G,VS1,60.0,59.0,5.8,5.84,3.49,2671
1609,0.72,Ideal,F,SI2,62.1,57.0,5.72,5.75,3.56,2241
21897,0.26,Premium,D,VS1,60.0,56.0,4.18,4.15,2.5,546
8547,0.55,Ideal,E,VS1,61.1,55.0,5.3,5.33,3.25,1975
22747,0.9,Very Good,H,VVS1,63.5,57.0,6.02,6.07,3.84,4485
17181,1.2,Very Good,G,VVS1,63.3,59.0,6.72,6.64,4.23,8928
16631,2.02,Fair,G,I1,65.6,57.0,7.87,7.8,5.15,6346
14738,0.76,Premium,J,VS2,59.9,59.0,5.94,5.92,3.55,2052
22534,0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,1251
12501,4.5,Fair,J,I1,65.8,58.0,10.23,10.16,6.72,18531
17426,2.2,Ideal,I,SI1,61.7,55.0,8.41,8.37,5.18,18059
9821,1.09,Very Good,H,SI1,61.7,59.0,6.53,6.59,4.05,4849
10555,2.0,Fair,H,SI2,65.2,55.0,7.9,7.85,5.13,11600
15138,1.04,Ideal,G,VS1,61.8,56.0,6.5,6.52,4.02,7467
20893,2.01,Good,H,SI2,63.7,59.0,7.89,7.84,5.01,12423
23922,1.41,Good,E,VVS2,59.9,61.0,7.21,7.37,4.37,14853
24266,0.9,Good,D,SI2,60.3,64.0,6.14,6.1,3.69,3473
20847,0.35,Very Good,D,VS1,63.9,55.0,4.49,4.53,2.88,792
15384,1.54,Ideal,H,SI2,60.9,56.4,7.43,7.45,4.53,9452
9839,0.32,Very Good,I,VS2,62.8,58.0,4.33,4.37,2.73,449
8891,1.03,Premium,I,SI1,61.0,58.0,6.52,6.47,3.96,4038
23601,1.07,Very Good,H,SI1,62.3,57.0,6.53,6.64,4.1,5752
24892,1.6,Very Good,E,SI2,62.5,54.0,7.5,7.55,4.7,11537
24102,1.15,Ideal,H,SI2,62.2,57.0,6.68,6.63,4.14,4186
10171,0.56,Premium,F,VVS1,61.1,56.0,5.41,5.3,3.27,2218
20759,0.4,Ideal,E,VVS1,60.6,56.0,4.77,4.8,2.9,1031
18334,0.47,Ideal,I,VVS1,61.0,56.0,5.02,5.04,3.07,1050
637,1.22,Premium,H,VS2,62.7,59.0,6.82,6.81,4.27,6184
8150,0.53,Ideal,E,VS2,62.1,54.6,5.19,5.21,3.23,1690
6754,1.11,Premium,G,SI1,62.4,58.0,6.65,6.61,4.14,5750
25825,0.5,Premium,I,SI1,61.7,58.0,5.09,5.15,3.16,965
7064,1.04,Good,F,SI1,,57.0,6.36,6.41,4.03,4828
26001,1.01,Good,F,SI2,63.6,59.0,6.37,6.34,4.04,4197
19506,0.38,Premium,D,SI2,62.1,55.0,4.65,4.62,2.88,812
11824,0.3,Fair,F,VS2,65.4,55.0,4.25,4.22,2.77,776
12378,2.0,Premium,G,SI2,60.4,61.0,8.21,8.12,4.93,17136
5537,1.14,Ideal,F,VVS1,60.1,60.0,6.79,6.83,4.09,11226
19409,0.5,Good,E,VVS2,58.9,61.0,5.18,5.2,3.06,2183
12763,0.5,Good,F,SI1,63.7,61.0,5.02,4.99,3.19,1125
24664,0.5,Ideal,E,SI1,61.5,57.0,5.08,5.1,3.13,1700
2860,0.3,Ideal,H,VVS1,61.1,58.0,4.33,4.35,2.65,665
20172,0.7,Premium,F,SI1,61.3,59.0,5.71,5.74,3.51,2161
11852,0.36,Premium,F,SI1,61.1,60.0,4.62,4.57,2.81,616
135,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,526
26240,0.41,Very Good,F,VS1,61.5,57.0,4.77,4.81,2.95,974
7236,0.32,Ideal,G,VVS1,62.4,56.0,4.36,4.39,2.73,842
20959,0.5,Fair,H,SI1,64.9,54.0,5.01,4.98,3.24,1094
15345,0.59,Very Good,F,VS2,62.9,55.0,5.32,5.39,3.37,1622
15187,0.71,Premium,I,VS1,62.5,61.0,5.68,5.64,3.54,2202
298,0.35,Ideal,F,VVS2,62.1,56.0,4.52,4.56,2.82,745
6390,0.41,Ideal,D,SI1,61.7,56.0,4.77,4.8,2.95,744
13708,1.52,Premium,I,VS2,61.7,61.0,7.35,7.3,4.52,6793
26746,2.01,Premium,H,SI2,60.5,61.0,8.14,8.09,4.91,16287
22024,0.4,Premium,G,SI1,62.0,59.0,4.7,4.72,2.92,702
6947,0.32,Ideal,G,SI1,60.8,56.0,4.48,4.44,2.71,612
26829,0.4,Very Good,E,VVS2,60.5,58.0,4.76,4.8,2.89,1205
15054,0.5,Fair,D,VVS1,65.9,64.0,4.92,5.03,3.28,1792
1147,1.01,Good,H,VVS2,63.3,57.0,6.35,6.39,4.03,5988
20370,0.3,Premium,D,VS2,61.7,59.0,4.28,4.25,2.63,911
